Symbol; Company Name; Sector
 ; u^{98} ; 
AEP ;  American Electric Power Company, Inc. ;  Utilities
NEE ;  NextEra Energy, Inc. ;  Utilities
SO ;  The Southern Company ;  Utilities
PEP ;  PepsiCo, Inc. ;  Consumer Defensive
O ;  Realty Income Corporation ;  Real Estate
 ; u^{97} ; 
ADBE ;  Adobe Inc. ;  Technology
MA ;  Mastercard Incorporated ;  Financial Services
CVX ;  Chevron Corporation ;  Energy
CRM ;  Salesforce, Inc. ;  Technology
V ;  Visa Inc. ;  Financial Services
 ; u^{96} ; 
BP ;  BP p.l.c. ;  Energy
SHEL ;  Shell plc ;  Energy
BHP ;  BHP Group Limited ;  Basic Materials
RIO ;  Rio Tinto Group ;  Basic Materials
BRK-B ;  Berkshire Hathaway Inc. ;  Financial Services
 ; u^{95} ; 
LLY ;  Eli Lilly and Company ;  Healthcare
MRK ;  Merck & Co., Inc. ;  Healthcare
NVO ;  Novo Nordisk A/S ;  Healthcare
AZN ;  AstraZeneca PLC ;  Healthcare
JNJ ;  Johnson & Johnson ;  Healthcare
 ; u^{94} ; 
COST ;  Costco Wholesale Corporation ;  Consumer Defensive
ETN ;  Eaton Corporation plc ;  Industrials
CAT ;  Caterpillar Inc. ;  Industrials
DE ;  Deere & Company ;  Industrials
WMT ;  Walmart Inc. ;  Consumer Defensive
 ; u^{93} ; 
ACN ;  Accenture plc ;  Technology
COP ;  ConocoPhillips ;  Energy
CVX ;  Chevron Corporation ;  Energy
XOM ;  Exxon Mobil Corporation ;  Energy
APD ;  Air Products and Chemicals, Inc. ;  Basic Materials
 ; u^{92} ; 
SPG ;  Simon Property Group, Inc. ;  Real Estate
O ;  Realty Income Corporation ;  Real Estate
PLD ;  Prologis, Inc. ;  Real Estate
MDLZ ;  Mondelez International, Inc. ;  Consumer Defensive
LLY ;  Eli Lilly and Company ;  Healthcare
 ; u^{91} ; 
HD ;  The Home Depot, Inc. ;  Consumer Cyclical
LOW ;  Lowe's Companies, Inc. ;  Consumer Cyclical
BRK-B ;  Berkshire Hathaway Inc. ;  Financial Services
BRK-A ;  Berkshire Hathaway Inc. ;  Financial Services
TJX ;  The TJX Companies, Inc. ;  Consumer Cyclical
 ; u^{90} ; 
APD ;  Air Products and Chemicals, Inc. ;  Basic Materials
LIN ;  Linde plc ;  Basic Materials
LMT ;  Lockheed Martin Corporation ;  Industrials
RTX ;  RTX Corporation ;  Industrials
ECL ;  Ecolab Inc. ;  Basic Materials
